,name,year,category
0,Blanche,1975,1
1,Caroline,1975,3
2,Doris,1975,2
3,Eloise,1975,3
4,Faye,1975,2
5,Gladys,1975,4
6,Belle,1976,3
7,Candice,1976,1
8,Emmy,1976,2
9,Frances,1976,3
10,Gloria,1976,2
11,Holly,1976,1
12,Anita,1977,5
13,Babe,1977,1
14,Clara,1977,1
15,Dorothy,1977,1
16,Evelyn,1977,1
17,Cora,1978,1
18,Ella,1978,4
19,Flossie,1978,2
20,Greta,1978,4
21,Kendra,1978,1
22,Bob,1979,1
23,David,1979,5
24,Frederic,1979,4
25,Gloria,1979,2
26,Henri,1979,1
27,Allen,1980,5
28,Bonnie,1980,2
29,Charley,1980,1
30,Georges,1980,1
31,Earl,1980,1
32,Frances,1980,3
33,Ivan,1980,2
34,Jeanne,1980,2
35,Karl,1980,1
36,Dennis,1981,1
37,Emily,1981,1
38,Floyd,1981,3
39,Gert,1981,2
40,Harvey,1981,4
41,Irene,1981,3
42,Katrina,1981,1
43,Alberto,1982,1
44,Debby,1982,4
45,Alicia,1983,3
46,Barry,1983,1
47,Chantal,1983,1
48,Diana,1984,4
49,Hortense,1984,1
50,Josephine,1984,2
51,Klaus,1984,1
52,Lili,1984,1
53,Bob,1985,1
54,Claudette,1985,1
55,Danny,1985,1
56,Elena,1985,3
57,Gloria,1985,4
58,Juan,1985,1
59,Kate,1985,3
60,Bonnie,1986,1
61,Charley,1986,1
62,Earl,1986,2
63,Frances,1986,1
64,Arlene,1987,1
65,Emily,1987,3
66,Floyd,1987,1
67,Debby,1988,1
68,Florence,1988,1
69,Gilbert,1988,5
70,Helene,1988,4
71,Joan,1988,4
72,Chantal,1989,1
73,Dean,1989,2
74,Erin,1989,2
75,Felix,1989,1
76,Gabrielle,1989,4
77,Hugo,1989,5
78,Jerry,1989,1
79,Bertha,1990,1
80,Diana,1990,2
81,Gustav,1990,3
82,Isidore,1990,2
83,Josephine,1990,1
84,Klaus,1990,1
85,Lili,1990,1
86,Nana,1990,1
87,Bob,1991,3
88,Claudette,1991,4
89,Grace,1991,2
90,AL121991,1991,1
91,Andrew,1992,5
92,Bonnie,1992,2
93,Charley,1992,2
94,Frances,1992,1
95,Emily,1993,3
96,Floyd,1993,1
97,Gert,1993,2
98,Harvey,1993,1
99,Chris,1994,1
100,Florence,1994,2
101,Gordon,1994,1
102,Allison,1995,1
103,Erin,1995,2
104,Felix,1995,4
105,Humberto,1995,2
106,Iris,1995,2
107,Luis,1995,4
108,Marilyn,1995,3
109,Noel,1995,1
110,Opal,1995,4
111,Roxanne,1995,3
112,Tanya,1995,1
113,Bertha,1996,3
114,Cesar,1996,1
115,Dolly,1996,1
116,Edouard,1996,4
117,Fran,1996,3
118,Hortense,1996,4
119,Isidore,1996,3
120,Lili,1996,3
121,Marco,1996,1
122,Bill,1997,1
123,Danny,1997,1
124,Erika,1997,3
125,Bonnie,1998,3
126,Danielle,1998,2
127,Earl,1998,2
128,Georges,1998,4
129,Ivan,1998,1
130,Jeanne,1998,2
131,Karl,1998,2
132,Lisa,1998,1
133,Mitch,1998,5
134,Nicole,1998,1
135,Bret,1999,4
136,Cindy,1999,4
137,Dennis,1999,2
138,Floyd,1999,4
139,Gert,1999,4
140,Irene,1999,2
141,Jose,1999,2
142,Lenny,1999,4
143,Alberto,2000,3
144,Debby,2000,1
145,Florence,2000,1
146,Gordon,2000,1
147,Isaac,2000,4
148,Joyce,2000,1
149,Keith,2000,4
150,Michael,2000,2
151,Erin,2001,3
152,Felix,2001,3
153,Gabrielle,2001,1
154,Humberto,2001,2
155,Iris,2001,4
156,Karen,2001,1
157,Michelle,2001,4
158,Noel,2001,1
159,Olga,2001,1
160,Gustav,2002,2
161,Isidore,2002,3
162,Kyle,2002,1
163,Lili,2002,4
164,Claudette,2003,1
165,Danny,2003,1
166,Erika,2003,1
167,Fabian,2003,4
168,Isabel,2003,5
169,Juan,2003,2
170,Kate,2003,3
171,Alex,2004,3
172,Charley,2004,4
173,Danielle,2004,2
174,Frances,2004,4
175,Gaston,2004,1
176,Ivan,2004,5
177,Jeanne,2004,3
178,Karl,2004,4
179,Lisa,2004,1
180,Cindy,2005,1
181,Dennis,2005,4
182,Emily,2005,5
183,Irene,2005,2
184,Katrina,2005,5
185,Maria,2005,3
186,Nate,2005,1
187,Ophelia,2005,1
188,Philippe,2005,1
189,Rita,2005,5
190,Stan,2005,1
191,Vince,2005,1
192,Wilma,2005,5
193,Beta,2005,3
194,Epsilon,2005,1
195,Ernesto,2006,1
196,Florence,2006,1
197,Gordon,2006,3
198,Helene,2006,3
199,Isaac,2006,1
200,Dean,2007,5
201,Felix,2007,5
202,Humberto,2007,1
203,Karen,2007,1
204,Lorenzo,2007,1
205,Noel,2007,1
206,Bertha,2008,3
207,Dolly,2008,2
208,Gustav,2008,4
209,Hanna,2008,1
210,Ike,2008,4
211,Kyle,2008,1
212,Omar,2008,4
213,Paloma,2008,4
214,Bill,2009,4
215,Fred,2009,3
216,Ida,2009,2
217,Alex,2010,2
218,Danielle,2010,4
219,Earl,2010,4
220,Igor,2010,4
221,Julia,2010,4
222,Karl,2010,3
223,Lisa,2010,1
224,Otto,2010,1
225,Paula,2010,2
226,Richard,2010,2
227,Shary,2010,1
228,Tomas,2010,2
229,Irene,2011,3
230,Katia,2011,4
231,Maria,2011,1
232,Nate,2011,1
233,Ophelia,2011,4
234,Philippe,2011,1
235,Rina,2011,3
236,Chris,2012,1
237,Ernesto,2012,2
238,Gordon,2012,2
239,Isaac,2012,1
240,Kirk,2012,2
241,Leslie,2012,1
242,Michael,2012,3
243,Nadine,2012,1
244,Rafael,2012,1
245,Sandy,2012,3
246,Humberto,2013,1
247,Ingrid,2013,1
248,Arthur,2014,2
249,Bertha,2014,1
250,Cristobal,2014,1
251,Edouard,2014,3
252,Fay,2014,1
253,Gonzalo,2014,4
254,Danny,2015,3
255,Fred,2015,1
256,Joaquin,2015,4
257,Kate,2015,1
258,Alex,2016,1
259,Earl,2016,1
260,Gaston,2016,3
261,Hermine,2016,1
262,Matthew,2016,5
263,Nicole,2016,4
264,Otto,2016,3
265,Franklin,2017,1
266,Gert,2017,2
267,Harvey,2017,4
268,Irma,2017,5
269,Jose,2017,4
270,Katia,2017,2
271,Lee,2017,3
272,Maria,2017,5
273,Nate,2017,1
274,Ophelia,2017,3
275,Beryl,2018,1
276,Chris,2018,2
277,Florence,2018,4
278,Helene,2018,2
279,Isaac,2018,1
280,Leslie,2018,1
281,Michael,2018,5
282,Oscar,2018,2
283,Barry,2019,1
284,Dorian,2019,5
285,Humberto,2019,3
286,Jerry,2019,2
287,Lorenzo,2019,5
288,Pablo,2019,1
289,Hanna,2020,1
290,Isaias,2020,1
291,Laura,2020,4
292,Marco,2020,1
293,Nana,2020,1
294,Paulette,2020,2
295,Sally,2020,2
296,Teddy,2020,4
297,Gamma,2020,1
298,Delta,2020,4
299,Epsilon,2020,3
300,Zeta,2020,3
301,Eta,2020,4
302,Iota,2020,4
303,Elsa,2021,1
304,Grace,2021,3
305,Henri,2021,1
306,Ida,2021,4
307,Larry,2021,3
308,Nicholas,2021,1
309,Sam,2021,4
